reference,description,decision-date,organisation,notes,entry-date,start-date,end-date
24/00281/FUL,"Amended - Erection of a single storey rear extension to the bungalow, with flat roof and roof lanterns. Loft conversion with a flat roof box dormer to the rear and 2 Velux roof lights to the front of the existing bungalow. Existing flat roof over the side extension roof to be replaced with another flat roof, when the rear extension flat roof is installed. The bungalow is to be clad in off-white render throughout (existing walls and proposed walls of the extension).",2024-03-25,local-authority:DNC,,,,
24/00286/FUL,Erection of single storey extension to rear following demolition of existing kitchen and utility room,2024-04-19,local-authority:DNC,,,,
24/00288/FUL,"Erection of a two storey side extension and remodel of existing cottage, following demolition of single storey side element and erection of supported canopy over front door (being variation of condition 2 of planning application 21/01898/FUL, approved plans).",2024-04-24,local-authority:DNC,,,,
24/00290/FUL,Erection of a two storey extension to side.,2024-04-09,local-authority:DNC,,,,
24/00291/FUL,"Amended - Erection of an attached garage and a two storey extension to the rear of the property, following the demolition of the existing attached garage and conservatory.",2024-03-20,local-authority:DNC,,,,
24/00292/FUL,Erection of single storey front porch extension to adjoin existing front porch,2024-05-21,local-authority:DNC,,,,
24/00293/FUL,Erection of ground floor extension to rear following demolition of existing conservatory,2024-04-17,local-authority:DNC,,,,
24/00296/FUL,Proposed Extension to side of factory to create packing hall,2024-03-26,local-authority:DNC,,,,
24/00300/FUL,Erection of a single storey to rear following demolition of existing conservatory.,2024-04-03,local-authority:DNC,,,,
24/00302/FUL,Installation of roof lights in connection with formation of rooms in roofspace.,2024-04-15,local-authority:DNC,,,,
24/00303/3FUL,"Erection of a rear single storey extension (comprising of a shower room, two bedrooms and a store), following demolition of the existing conservatory/play room and store rear extensions.",2024-04-03,local-authority:DNC,,,,
24/00309/FUL,Erection of first floor extension to the rear,2024-04-19,local-authority:DNC,,,,
24/00310/FUL,Erection of front porch.,2024-05-21,local-authority:DNC,,,,
24/00312/FUL,Conversion of existing dwelling and hot food takeaway into 2 apartments,2024-03-19,local-authority:DNC,,,,
24/00313/FUL,"AMENDED PLANS: Erection of additional storey at first floor level, single storey rear extension following demolition of existing conservatory and alterations to existing front boundary wall.",2024-08-28,local-authority:DNC,,,,
24/00314/FUL,"Loft conversion, including increase in roof height to create first floor accommodation",2024-04-16,local-authority:DNC,,,,
24/00317/FUL,"Replacement of eleven existing 20+ year old wooden vertical bar exterior sash windows, to front and all sides on two floors, with like for like upvc vertical bar sash windows to include run through sash horns, deep bottom rail, weatherbar and fully mechanical joints. Replacement of five horizontally rotating, removable wooden windows to attic level with upvc fire escape windows with single vertical and horizontal bar detail. Bottom sashes to be glazed with safety glass. Bathroom windows to be glazed with obscure glass to lower sash.",2024-06-05,local-authority:DNC,,,,
24/00319/FUL,Erection of detached garage following removal of existing garage,2024-06-12,local-authority:DNC,,,,
24/00321/FUL,"Change of use from dwellinghouse (C3) to children's residential care home (C2), with associated internal and external alterations, including installation of new first-floor side window",2024-05-29,local-authority:DNC,,,,
24/00322/FUL,Erection of 3 dwellings,2024-03-27,local-authority:DNC,,,,
24/00323/FUL,Erection of a two storey side/rear extension and erection of a single storey extension to the rear.,2024-04-04,local-authority:DNC,,,,
24/00325/LBC,Listed building consent for works to roof and replacement windows,2024-04-11,local-authority:DNC,,,,
24/00326/FUL,Erection of ground floor side extension,2024-06-07,local-authority:DNC,,,,
24/00328/FUL,Erection of a single storey extensions to side and rear and conversion of existing garage following demolition of the existing conservatory. Erection of new 1.8m boundary wall.,2024-06-18,local-authority:DNC,,,,
24/00329/FUL,Erection of a ground floor extension to the side/rear of a semi-detached dwelling house.,2024-04-08,local-authority:DNC,,,,
24/00330/FUL,"Installation of new bi-fold doors (widen the opening) to replace the existing rear patio doors. Alterations to windows on rear elevation, including the installation of a Juliet Balcony with glazed doors to replace the existing windows on the rear bedroom. Plus, the erection of a front Porch.",2024-04-17,local-authority:DNC,,,,
24/00334/FUL,"Amended - Erection of a flat roof rear extension and the addition of a bay window to the side elevation, following the demolition of the existing Sun Room.",2024-04-19,local-authority:DNC,,,,
24/00335/FUL,Erection of a single storey side extension with roof terrace,2024-05-20,local-authority:DNC,,,,
24/00337/TPO,"Application to undertake a crown lift on Oak tree, identified as being T1 of Doncaster Borough Council Tree Preservation Order (No.424) 2022 St Cuthberts Churchyard, Church Lane.",2024-03-13,local-authority:DNC,,,,
24/00339/FUL,"Change of use of dwelling and curtilage (use class C3) to school (use class F1), incorporating widened access point to Holywell Lane, creation of new parking area and passing places on private driveway, plus associated external alterations",2024-06-03,local-authority:DNC,,,,
24/00342/FUL,"Erection of a single storey extension to the rear and internal changes as well as new driveway and landscaping works, following demolition of existing rear conservatory",2024-06-12,local-authority:DNC,,,,
24/00347/FULM,"Erection of motor trade sales site with wash/valeting facility and associated vehicle parking/display areas. (Being variation of condition 2 of 22/00142/FULM granted on 20/06/2023, changes to the site layout).",2024-06-24,local-authority:DNC,,,,
24/00349/TPO,Application to fell 3 Ash within G66 of Doncaster Borough Council Tree Preservation Order (No.64) 1991 Bessacarr with Cantley.,2024-04-18,local-authority:DNC,,,,
24/00351/3FUL,Installation of poles and kiosk cabinets to provide a fire detection and alarm system,2024-04-09,local-authority:DNC,,,,
24/00352/3FUL,Installation of poles and kiosk cabinets to provide a fire detection and alarm system,2024-04-15,local-authority:DNC,,,,
24/00353/3FUL,Installation of poles and kiosk cabinets to provide a fire detection and alarm system,2024-04-09,local-authority:DNC,,,,
24/00356/FUL,"Amended - Erection of a two storey rear extension with a pitched roof. Erection of a side porch and erection of a rear detached garage/workshop, to which access is gained direct from the rear of the site.",2024-05-28,local-authority:DNC,,,,
24/00363/FUL,Erection of a two storey rear extension with orangery.,2024-04-23,local-authority:DNC,,,,
24/00365/TPO,"Application to undertake pruning and removal of deadwood from a Sycamore tree, identified as T38, within and protected by Doncaster Rural District Council Tree Preservation Order (No.11) 1970 Barnby Dun with Kirk Sandall",2024-03-25,local-authority:DNC,,,,
24/00366/FUL,"Erection of a ground floor extension to the rear/side of the detached dwelling house and erection of a detached double garage, following demolition of the existing on-site wooden sheds/outbuildings.",2024-05-02,local-authority:DNC,,,,
24/00368/FUL,Erection of detached garden room with covered seating and detached home office/ gym following demolition of existing conservatory and garage. Erection of porch to the rear and detached timber car port. Replacement of all front elevation none traditional windows and reworking of driveway.,2024-06-12,local-authority:DNC,,,,
24/00369/LBC,Erection of detached garden room with covered seating and detached home office/ gym following demolition of existing conservatory and garage. Erection of porch to the rear and detached timber car port. Replacement of all front elevation none traditional windows and reworking of driveway.,2024-06-12,local-authority:DNC,,,,
24/00375/FUL,Erection of single storey rear extension and installation of new side doors.,2024-04-09,local-authority:DNC,,,,
24/00379/FUL,Erection of a first floor extension above existing porch after first widening the footprint of the porch and other external alterations (cills),2024-04-23,local-authority:DNC,,,,
24/00381/TPO,"Application to minor pruning on a Sycamore, identified as being within A1 of Doncaster Borough Council Tree Preservation Order (No.29) 1986 Old Bawtry Road, Finningley.",2024-03-25,local-authority:DNC,,,,
24/00382/FUL,Erection of a part single and part double storey rear extension and double storey side extension following demolition of existing garage outbuilding,2024-05-17,local-authority:DNC,,,,
24/00383/FUL,Erection of an extension to the rear of the detached bungalow and the installation of two Velux roof lights (one to each side elevation of the main bungalow itself).,2024-04-04,local-authority:DNC,,,,
24/00385/MIN,"Recovery of ash from former municipal landfill together with ancillary activities and restoration to an agricultural use (Without compliance of condition 8 of Application Reference Number: 15/01526/MIN granted on 30/06/2016 - broadleaf trees density)


",2024-04-22,local-authority:DNC,,,,
24/00390/FUL,"Erection of a two storey dwelling, ancillary double garage and workshop for domestic use only and associated landscaping and external works, following demolition of existing buildings",2024-05-17,local-authority:DNC,,,,
24/00391/FUL,AMENDED PLANS: Erection of a two storey extension to rear following demolition of existing out-house and covered walkway at rear & demolition of the chimney stack at front.,2024-05-21,local-authority:DNC,,,,
24/00392/FUL,"Erection of a single storey extension to the rear, following the demolition of the existing conservatory.",2024-04-10,local-authority:DNC,,,,
24/00393/FUL,Erection of a two storey extension to side following demolition of existing side extension.,2024-04-19,local-authority:DNC,,,,
24/00395/FUL,Change of use from residential dwelling to two flats including installation of external staircase to the rear.,2024-06-17,local-authority:DNC,,,,
24/00399/4FUL,Continued use of building as children's nursery (renewal of temporary permission until 31st July 2025 granted under planning application 23/00926/4FUL),2024-04-15,local-authority:DNC,,,,
24/00402/TPO,T1; Sycamore- reduce canopy back by 3 meters from western aspect through to southern aspect & reshape as required either side to integrate canopy. Work required to reasonably abate the nuisance of excessive shading & debris fall from the tree.,2024-04-08,local-authority:DNC,,,,
24/00404/FUL,"Renovation, repair and redecoration of shop fronts",2024-04-24,local-authority:DNC,,,,
24/00408/LBC,Listed Building Consent for the replacement of shop front and associated renovation works to the frontage of the building,2024-04-17,local-authority:DNC,,,,
